"Nombres","","",""
"Nombre","Sexo","Origen y Comentarios",""
"Bahiana","F","",""
"Bahiano","M","",""
"Bahich","M","",""
"Bailey","M","",""
"Bainbridge","M","",""
"Baird","M","",""
"Baka","F","",""
"Balarama","M","",""
"Balbiana","F","",""
"Balbina","F","",""
"Balbino","M","",""
"Balbo","M","ORIGEN:LATINO SIGNIFICADO: EL QUE NO HABLA BIEN EL TARTAMUDOCARACTERIZACION DEL NOMBRE: COMUN GENERO; MASCULINO",""
"Balder","M","",""
"Baldomero","M","",""
"Balduino","M","",""
"Baldur","M","",""
"Baldwin","M","",""
"Bali","M","",""
"Balint","M","",""
"Baliwani","F","",""
"Ballard","A","",""
"Baltar","M","",""
"Baltasar","M","",""
"Baltazar","M","",""
"Balthazar","M","",""
"Bambu","M","",""
"Banbury","M","",""
"Bancroft","M","",""
"Baptiste","M","",""
"Baraquisio","M","",""
"Barbaciano","M","",""
"Barbara","F","",""
"Barbato","M","",""
"Barbea","F","",""
"Barbelo","M","",""
"Barclay","M","",""
"Barcli","F","",""
"Barden","M","",""
"Bardomiano","M","",""
"Baris","M","",""
"Barkev","M","",""
"Barlaan","M","",""
"Barnabas","M","",""
"Barnard","M","",""
"Barnett","M","",""
"Barney","M","",""
"Baroncio","M","",""
"Barrett","M","",""
"Barry","M","",""
"Barsabas","M","",""
"Barsanufio","M","",""
"Barsen","M","",""
"Barsimeo","M","",""
"Bart","M","",""
"Bartolo","M","DIMINUTIVO DE : BARTOLOME---CARACTERIZACION DEL NOMBRE:COMUNGENERO:MASCULINO",""
"Bartolome","M","",""
"Barton","M","",""
"Baruc","M","",""
"Baruch","M","",""
"Baruir","M","",""
"Baruj","M","",""
"Barula","M","",""
"Basa","F","",""
"Basha","F","",""
"Basia","F","",""
"Basiano","M","",""
"Basil","M","",""
"Basila","F","",""
"Basileo","M","",""
"Basiliano","M","",""
"Basilides","M","",""
"Basilio","M","",""
"Basilisa","F","",""
"Basilisco","M","",""
"Basimah","F","",""
"Basolo","M","",""
"Bassa","F","",""
"Bassi","M","",""
"Basso","M","",""
"Bast","M","",""
"Bastian","M","",""
"Bastiana","F","",""
"Bat","M","",""
"Batana","F","",""
"Batia","F","",""
"Batilde","F","",""
"Batista","M","",""
"Batsheva","F","",""
"Battista","M","",""
"Batul","F","",""
"Batya","F","",""
"Baudelio","M","",""
"Baudilio","M","",""
"Bautista","M","",""
"Bavon","M","",""
"Baxter","M","",""
"Bay","A","",""
"Bayaceto","M","",""
"Bayan","M","",""
"Bayard","M","",""
"Bayo","F","",""
"Bayulo","M","",""
"Beacan","M","",""
"Beagan","M","",""
"Beaman","M","",""
"Beano","M","",""
"Beata","F","",""
"Beato","M","",""
"Beatrice","F","",""
"Beatrix","F","",""
"Beatriz","F","ORIGEN:LATINO----SIGNIFICADO: BEATA,AFORTUNADA,QUE TRAE ALEGRIA,ES ELNOMBRE DE LA AMADA DE DANTE ALIGHIERI-INSPIRADORA DE LA DIVINA COMEDIANOMBRE:COMUN---GENERO:FEMENINO.-",""
"Beatriz del Valle","F","",""
"Beattie","F","",""
"Beau","M","",""
"Beaumont","M","",""
"Beauregard","M","",""
"Becca","F","",""
"Beck","M","",""
"Beda","M","",""
"Bedelia","F","",""
"Beder","M","",""
"Begga","F","",""
"Begoña","F","ORIGEN:VASCO SIGNIFICADO: ADVOCACION VASCA DE LA VIRGEN CARACTERI-ZACION DEL NOMBRE:COMUN GENERO:FEMENINO.",""
"Begonia","F","SIGNIFICADO:NOMBRE DE UNA FLOR AMERICANA CREADA POR EL BOTANICO FRAN-CES ""PLUMIER"" EN HONOR A ""BEGON "" INTENDENTE DE SANTO DOMINGO,CARACTE-RIZACION DEL NOMBRE:COMUN GENERO:FEMENINO",""
"Beism","M","",""
"Bejle","F","",""
"Bel","F","",""
"Belana","F","",""
"Belara","F","",""
"Belarmino","M","",""
"Beldon","M","",""
"Belen","A","",""
"Belena","F","",""
"Belerofonte","M","",""
"Belgrano","M","",""
"Belia","F","",""
"Belinda","F","",""
"Belino","M","",""
"Belisa","F","",""
